SOURCEURL,Date,Label,N_label,AvgTone
http://www.traveltrends.biz/ttn555-orbitz-up-for-sale-expedia-to-move-on-travelocity-more-deals-tipped-for-the-online-travel-space/,2015-01-21,Systemic_Risk_Management,18.0,4.19664268585132
http://www.themalaymailonline.com/tech-gadgets/article/online-booking-merges-expedia-inc-buys-travelocity-for-us280m,2015-01-23,Business_Model_Resilience,3.0,2.44565217391304
http://www.baltimoresun.com/news/nation-world/la-fi-expedia-travelocity-20150123-story.html,2015-01-23,Product_Design_And_Lifecycle_Management,15.0,2.84418334952739
http://www.thestreet.com/story/13020951/1/expedia-expe-stock-gains-today-following-travelocity-acquisition.html,2015-01-23,Business_Model_Resilience,3.0,6.89655172413793
http://natmonitor.com/2015/01/24/travelocity-sold-to-expedia-for-280-million/,2015-01-24,Competitive_Behavior,4.0,2.62295081967213
http://www.eturbonews.com/54827/expedia-buys-travelocity-sabre-280-million-cash,2015-01-24,Employee_Engagement_Inclusion_And_Diversity,8.0,5.85774058577406
http://www.techtimes.com/articles/28475/20150124/expedia-travelocity-280m-cash-deal.htm,2015-01-24,Business_Model_Resilience,3.0,2.99531752999707
http://nhv.us/content/15011541-sabre-sells-travelocity-expedia-280-million,2015-01-24,Business_Model_Resilience,3.0,3.55555555555556
http://www.uniongazette.com/technology/expedia-snaps-up-travelocity-in-280m-money-deal-h11452.html,2015-01-24,Water_And_Wastewater_Management,20.0,3.52941176470588
http://www.chinatopix.com/articles/34345/20150126/expedia-acquires-rival-travelocity-for-280m.htm,2015-01-26,Competitive_Behavior,4.0,1.46520146520147
http://www.washingtonpost.com/lifestyle/travel/expedia-acquired-travelocity-how-will-it-affect-you-the-traveler/2015/01/29/56ffe024-a57d-11e4-a7c2-03d37af98440_story.html,2015-01-29,Systemic_Risk_Management,18.0,2.32558139534884
http://www.dailymail.co.uk/money/experts/article-2938469/Expedia-returned-money-holiday-dead-husband-s-account.html?ITO=1490&ns_campaign=1490,2015-02-03,Management_Of_Legal_And_Regulatory_Framework,12.0,1.98019801980198
http://www.marketwatch.com/story/expedias-stock-falls-after-profit-falls-below-expectations-2015-02-05,2015-02-05,Systemic_Risk_Management,18.0,4.23728813559322
http://www.montereyherald.com/business/20150206/expedia-faces-claims-for-at-least-800-million-in-hotel-tax,2015-02-07,Management_Of_Legal_And_Regulatory_Framework,12.0,2.47150671079647
http://www.eturbonews.com/55393/expedia-partners-free-children-adopt-village-verdara-india,2015-02-09,Employee_Engagement_Inclusion_And_Diversity,8.0,7.42698680987601
http://money.aol.co.uk/2015/03/11/how-i-took-on-expedia-for-overcharging-me/,2015-02-09,Management_Of_Legal_And_Regulatory_Framework,12.0,-0.93023255813953
http://www.nasdaq.com/article/expedias-16-billion-bid-to-rule-the-online-travel-market-cm445452,2015-02-11,Systemic_Risk_Management,18.0,0.72358900144718
http://www.marketwatch.com/story/expedia-to-buy-orbitz-worldwide-in-16-billion-deal-2015-02-12,2015-02-12,Systemic_Risk_Management,18.0,1.06382978723404
