,GLOBALEVENTID,Date,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,EventCode,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,SOURCEURL
0,331752610,20141215,FRA,FRANCE,FRA,,SWE,SWEDEN,SWE,,35,1.7515923566879,France,FR,Sweden,SW,http://www.brw.com.au/p/business/why_the_accc_approved_the_expedia_vtypEH4AAHyTKUm8hjjmoM
6,332901439,20150121,AUS,AUSTRALIA,AUS,,CAN,CANADA,CAN,,57,4.19664268585132,"Sydney, New South Wales, Australia",AS,"Sydney, New South Wales, Australia",AS,http://www.traveltrends.biz/ttn555-orbitz-up-for-sale-expedia-to-move-on-travelocity-more-deals-tipped-for-the-online-travel-space/
17,333251342,20140123,MNCUSA,EXPEDIA INC,USA,MNC,FRA,FRANCE,FRA,,172,2.30769230769231,"Paris, RhÃ´Alpes, France",FR,"Paris, RhÃ´Alpes, France",FR,http://www.theglobeandmail.com/report-on-business/international-business/expedia-acquires-travelocity-in-280-million-deal/article22607871/
20,333282062,20150123,BUS,AIRLINE,,BUS,GOV,PRESIDENT,,GOV,51,3.18471337579618,"Southlake, Texas, United States",US,"Southlake, Texas, United States",US,http://finance.yahoo.com/news/sabre-expedia-announce-expedias-acquisition-140000129.html
21,333285639,20150123,CAN,CANADIAN,CAN,,USA,UNITED STATES,USA,,57,6.89655172413793,Canada,CA,Canada,CA,http://www.thestreet.com/story/13020951/1/expedia-expe-stock-gains-today-following-travelocity-acquisition.html
25,333353223,20150123,MED,WEBSITE,,MED,,,,,90,1.94430435536277,"Dallas, Texas, United States",US,,,http://www.dallasnews.com/business/headlines/20150123-sabre-sells-travelocity-to-expedia-for-280-million1.ece
27,333353283,20150123,MED,WEBSITE,,MED,,,,,111,2.84418334952739,United States,US,,,http://www.baltimoresun.com/news/nation-world/la-fi-expedia-travelocity-20150123-story.html
30,333426767,20150123,CAN,CANADA,CAN,,MED,MEDIA,,MED,44,2.44565217391304,Canada,CA,China,CH,http://www.themalaymailonline.com/tech-gadgets/article/online-booking-merges-expedia-inc-buys-travelocity-for-us280m
32,333428485,20150124,,,,,BUS,AIRLINE,,BUS,60,3.52941176470588,,,Canada,CA,http://www.uniongazette.com/technology/expedia-snaps-up-travelocity-in-280m-money-deal-h11452.html
33,333433988,20150124,,,,,MNCUSA,EXPEDIA INC,USA,MNC,42,3.55555555555556,,,"New Hampshire, United States",US,http://nhv.us/content/15011541-sabre-sells-travelocity-expedia-280-million
35,333443514,20150124,BUS,COMPANY,,BUS,,,,,111,2.99531752999707,Canada,CA,,,http://www.techtimes.com/articles/28475/20150124/expedia-travelocity-280m-cash-deal.htm
38,333444181,20150124,BUS,AIRLINE,,BUS,GOV,PRESIDENT,,GOV,51,5.85774058577406,United States,US,United States,US,http://www.eturbonews.com/54827/expedia-buys-travelocity-sabre-280-million-cash
39,333444471,20150124,BUS,INDUSTRY,,BUS,MNCUSA,EXPEDIA INC,USA,MNC,42,2.62295081967213,"Dallas, Texas, United States",US,"Dallas, Texas, United States",US,http://natmonitor.com/2015/01/24/travelocity-sold-to-expedia-for-280-million/
48,333500652,20150124,NMR,NORTH AMERICA,NMR,,,,,,111,0.882352941176471,Canada,CA,,,http://www.examiner.com/article/is-expedia-turning-into-the-google-of-travel-the-amazon-of-books
51,333542892,20141226,,,,,CHE,SWISS,CHE,,60,1.38067061143984,,,Switzerland,SZ,http://www.forbes.com/sites/amitchowdhry/2015/01/25/expedia-has-acquired-travelocity-for-280-million-in-cash/
52,333546385,20150125,,,,,BUS,BUSINESS,,BUS,43,0.793650793650794,,,New Zealand,NZ,http://www.canberratimes.com.au/business/wotif-boss-and-other-staff-get-a-permanent-vacation-following-expedia-takeover-20150125-12xrbu.html
67,333809402,20150126,USA,UNITED STATES,USA,,NMR,NORTH AMERICA,NMR,,111,1.46520146520147,United States,US,United States,US,http://www.chinatopix.com/articles/34345/20150126/expedia-acquires-rival-travelocity-for-280m.htm
68,333862636,20150127,CAN,CANADA,CAN,,CHE,SWITZERLAND,CHE,,61,2.71493212669683,United States,US,United States,US,http://www.forbes.com/sites/greatspeculations/2015/01/27/expedia-boosts-its-north-american-dominance-by-acquiring-travelocity/
72,334008393,20141229,BUS,CORPORATION,,BUS,CHE,SWISS,CHE,,60,3.2051282051282,Switzerland,SZ,Switzerland,SZ,http://asianjournal.com/news/expedia-acquires-travelocity-for-280-million/
73,334226021,20150129,BUS,COMPANY,,BUS,,,,,1712,2.32558139534884,"Vancouver, British Columbia, Canada",CA,,,http://www.washingtonpost.com/lifestyle/travel/expedia-acquired-travelocity-how-will-it-affect-you-the-traveler/2015/01/29/56ffe024-a57d-11e4-a7c2-03d37af98440_story.html
76,335039609,20150203,MYS,MALAYSIA,MYS,,MYSBUS,MALAYSIA,MYS,BUS,42,1.98019801980198,"Bali, Perak, Malaysia",MY,"Bali, Perak, Malaysia",MY,http://www.dailymail.co.uk/money/experts/article-2938469/Expedia-returned-money-holiday-dead-husband-s-account.html?ITO=1490&ns_campaign=1490
78,335393347,20150205,MED,WEBSITE,,MED,,,,,10,3.96282560474149,"Dubai, Dubayy, United Arab Emirates",AE,,,http://www.arabianbusiness.com/palm-jumeirah-named-must-see-wonder-by-expedia-581257.html
79,335439207,20150205,USA,NEW YORK,USA,,BUS,COMPANY,,BUS,120,4.23728813559322,,,,,http://www.marketwatch.com/story/expedias-stock-falls-after-profit-falls-below-expectations-2015-02-05
80,335646424,20150207,,,,,BUS,COMPANIES,,BUS,42,2.47150671079647,,,"Hawaii, United States",US,http://www.montereyherald.com/business/20150206/expedia-faces-claims-for-at-least-800-million-in-hotel-tax
84,335755638,20150208,,,,,BUS,COMPANIES,,BUS,42,2.48091603053435,,,"Hawaii, United States",US,http://www.orovillemr.com/business/20150206/expedia-faces-claims-for-at-least-800-million-in-hotel-tax
87,335872981,20150209,,,,,CVL,COMMUNITY,,CVL,51,7.42698680987601,,,"Udaipur, Orissa, India",IN,http://www.eturbonews.com/55393/expedia-partners-free-children-adopt-village-verdara-india
88,335969729,20150209,MED,WEBSITE,,MED,,,,,111,6.59186535764376,"Udaipur, Orissa, India",IN,,,http://finance.yahoo.com/news/expedia-inc-partners-free-children-221400845.html
89,336413150,20150212,,,,,AUS,AUSTRALIAN,AUS,,42,2.49376558603491,,,United States,US,https://au.news.yahoo.com/thewest/business/technology/a/26280110/online-travel-agency-expedia-to-buy-rival-orbitz-for-1-38-billion/
90,336413643,20150212,,,,,BUS,COMPANIES,,BUS,14,2.92476840069225,,,Canada,CA,http://q13fox.com/2015/02/12/bellevue-based-expedia-to-buy-orbitz-in-1-6-billion-deal/
91,336414148,20150212,,,,,BUS,COMPANY,,BUS,61,5.16351118760757,,,"Vancouver, British Columbia, Canada",CA,http://www.businesswire.com/news/home/20150212005866/en/Expedia%C2%AE-CruiseShipCenters%C2%AE-Sails-Heights-Record-Year-Franchise
94,336417848,20150212,,,,,FRA,PARIS,FRA,,42,2.78035370348897,,,"Paris, RhÃ´Alpes, France",FR,http://seattletimes.com/html/businesstechnology/2025687766_expediaorbitzxml.html
95,336417855,20150212,,,,,FRA,PARIS,FRA,,42,2.7823240589198,,,"Chicago, Illinois, United States",US,http://www.chicagotribune.com/business/breaking/ct-orbitz-expedia-consumer-0213-biz-20150212-story.html
96,336429981,20150212,,,,,USAMED,REUTERS,USA,MED,42,1.21212121212121,,,"Bengaluru, Karnataka, India",IN,http://www.reuters.com/article/2015/02/12/orbitz-worldwide-ma-expedia-idUSL4N0VM6UF20150212
97,336429984,20150212,,,,,USAMED,REUTERS,USA,MED,42,2.26630713918849,,,United States,US,http://uk.reuters.com/article/2015/02/12/uk-orbitz-worldwide-m-a-expedia-idUKKBN0LG1MQ20150212
98,336434271,20150212,AUS,AUSTRALIA,AUS,,,,,,111,2.45398773006135,,,,,http://www.theguardian.com/us-news/2015/feb/12/expedia-buys-rival-orbitz-online-travel-booking
101,336439939,20150212,BUS,COMPANIES,,BUS,,,,,20,2.03389830508475,"Athens, AttikÃ­R, Greece",GR,,,http://onlineathens.com/breaking-news/2015-02-12/expedia-buying-rival-orbitz-about-133-billion
102,336439973,20150212,BUS,COMPANIES,,BUS,,,,,20,2.41302030968697,"Chicago, Illinois, United States",US,,,http://www.montereyherald.com/business/20150212/expedia-buys-orbitz-weeks-after-acquiring-travelocity/1
103,336439975,20150212,BUS,COMPANIES,,BUS,,,,,20,2.0508502955597,"Washington, District of Columbia, United States",US,,,http://abc11.com/business/expedia-buying-orbitz-for-about-$133-billion/514626/
104,336440117,20150212,BUS,COMPANY,,BUS,,,,,30,2.67857142857143,Canada,CA,,,http://techcrunch.com/2015/02/12/expedia-buys-orbitz-for-1-6b-in-cash-to-square-up-to-priceline/
106,336440255,20150212,BUS,COMPANY,,BUS,,,,,36,4.47761194029851,"Arizona, United States",US,,,http://www.abc15.com/news/national/expedia-to-buy-orbitz-in-16-billion-deal
108,336440267,20150212,BUS,COMPANIES,,BUS,,,,,36,2.91666666666667,"Kentucky, United States",US,,,http://www.zdnet.com/article/expedia-buys-orbitz-for-1-3-billion/
111,336441275,20150212,BUS,COMPANY,,BUS,,,,,111,2.48868778280543,"Chicago, Illinois, United States",US,,,http://www.oregonlive.com/business/index.ssf/2015/02/expedia_to_buy_orbitz_for_133.html
112,336441282,20150212,BUS,COMPANIES,,BUS,,,,,111,2.77469241285031,Canada,CA,,,http://www.abc17news.com/news/business/expedia-to-buy-orbitz-in-16-billion-deal/31231478
113,336441750,20150212,BUS,COMPANY,,BUS,AUS,AUSTRALIA,AUS,,111,3.4375,,,,,http://www.chinatopix.com/articles/36972/20150212/expedia-to-acquire-orbitz-in-a-deal-worth-us-1-6-billion.htm
121,336480491,20150212,GOV,REGULATOR,,GOV,,,,,13,1.80384739547217,"Dallas, Texas, United States",US,,,http://mtstandard.com/business/expedia-to-buy-orbitz-further-shift-in-online-travel-space/article_4c8db228-7a12-5d39-8aeb-0ac4573270e2.html
122,336480493,20150212,GOV,REGULATOR,,GOV,,,,,13,1.35287485907554,"Milepoint, Florida, United States",US,,,http://www.sfgate.com/travel/article/Expedia-buys-Orbitz-consolidating-online-travel-6078308.php
123,336480495,20150212,GOV,REGULATOR,,GOV,,,,,13,1.42348754448399,"Chicago, Illinois, United States",US,,,http://www.dailymail.co.uk/wires/ap/article-2951569/Expedia-buy-Orbitz-shift-online-travel-space.html
124,336480496,20150212,GOV,REGULATOR,,GOV,,,,,13,1.44220728102307,"Washington, District of Columbia, United States",US,,,http://www.sltrib.com/home/2174643-155/expedia-to-buy-orbitz-shifts-online
127,336507716,20150212,JPN,JAPAN,JPN,,LAB,EMPLOYEE,,LAB,42,2.23577235772358,"Chicago, Illinois, United States",US,"Chicago, Illinois, United States",US,http://www.japantimes.co.jp/news/2015/02/13/business/expedia-buying-rival-orbitz-1-33-billion/
130,336521317,20150212,MED,WEBSITE,,MED,,,,,111,2.6378896882494,"Chicago, Illinois, United States",US,,,http://finance.yahoo.com/news/expedia-acquire-orbitz-worldwide-12-130500710.html
131,336522768,20150212,MED,WEBSITE,,MED,MNCBUS,ORBITZ WORLDWIDE,,MNC,111,3.1280606024265,"Chicago, Illinois, United States",US,"Chicago, Illinois, United States",US,http://www.eturbonews.com/55505/expedia-buying-online-rival-orbitz-133-billion
132,336523697,20150212,MEDBUS,WEBSITE,,MED,MED,WEBSITE,,MED,30,3.69230769230769,"Chicago, Illinois, United States",US,"Chicago, Illinois, United States",US,http://chicago.suntimes.com/business/7/71/363735/expedia-orbitz-worldwide
134,336527287,20150212,MNC,ORBITZ WORLDWIDE,,MNC,,,,,90,1.61892901618929,Germany,GM,,,http://time.com/money/3707551/expedia-orbitz-impact-travelers/
138,336527309,20150212,MNC,ORBITZ WORLDWIDE,,MNC,USA,NEW YORK,USA,,43,3.2258064516129,,,,,http://economictimes.indiatimes.com/news/international/business/expedia-buys-rival-travel-operator-orbitz-for-1-6-billion/articleshow/46217791.cms
139,336527310,20150212,MNC,ORBITZ WORLDWIDE,,MNC,USA,NEW YORK,USA,,43,2.93040293040293,China,CH,China,CH,http://economictimes.indiatimes.com/news/international/business/us-online-travel-operator-expedia-buys-rival-travel-operator-orbitz-for-1-6-billion/articleshow/46217791.cms
140,336527311,20150212,MNC,ORBITZ WORLDWIDE,,MNC,USA,NEW YORK,USA,,43,3.2258064516129,"New York, United States",US,"New York, United States",US,http://news.yahoo.com/expedia-buy-orbitz-1-6-bn-deal-133853485.html
141,336527338,20150212,MNCBUS,ORBITZ WORLDWIDE,,MNC,,,,,111,3.55135246854399,,,,,http://www.wptv.com/newsy/expedia-to-buy-rival-orbitz-for-13-billion
142,336527340,20150212,MNCBUS,ORBITZ WORLDWIDE,,MNC,,,,,111,2.45098039215686,"Puget Sound, Washington, United States",US,,,http://www.bizjournals.com/pacific/blog/morning_call/2015/02/expedia-to-buy-orbitz-for-1-3-billion.html
143,336527341,20150212,MNCBUS,ORBITZ WORLDWIDE,,MNC,,,,,111,3.89247425588941,"Chicago, Illinois, United States",US,,,http://www.chicagotribune.com/business/breaking/ct-orbitz-expedia-0213-biz-20150212-story.html
147,336527349,20150212,MNCBUS,ORBITZ WORLDWIDE,,MNC,,,,,111,2.47466551242129,United States,US,,,http://www.newsmax.com/Newsfront/Expedia-Orbitz-Online-Travel-Agency-flying/2015/02/12/id/624336/
148,336527599,20150212,MNCCHN,ELONG INC,CHN,MNC,,,,,111,2.74509803921569,,,,,http://www.foxnews.com/travel/2015/02/12/expedia-to-buy-rival-orbitz/
149,336527959,20150212,MNCUSA,EXPEDIA INC,USA,MNC,,,,,10,2.96296296296296,"Bengaluru, Karnataka, India",IN,,,http://finance.yahoo.com/news/online-travel-agency-expedia-buy-205934699.html
150,336527966,20150212,MNCUSA,EXPEDIA INC,USA,MNC,,,,,10,2.7027027027027,"Las Vegas, Nevada, United States",US,,,http://www.reviewjournal.com/business/online-travel-agency-expedia-buy-rival-orbitz-133-billion
152,336528238,20150212,MNCUSA,EXPEDIA INC,USA,MNC,MNCBUS,ORBITZ WORLDWIDE,,MNC,36,4.91228070175439,,,,,http://www.forbes.com/sites/laurengensler/2015/02/12/expedia-snatching-up-orbitz-in-1-6-billion-deal/
153,336528434,20150212,MNCUSAMED,GOOGLE,USA,MNC,,,,,11,2.02020202020202,United States,US,,,http://www.pcworld.com/article/2883812/google-fear-a-factor-behind-orbitzexpedia-deal.html
158,336560592,20150212,USA,CHARLOTTE,USA,,,,,,51,3.23634713285179,"Chicago, Illinois, United States",US,,,http://www.charlotteobserver.com/2015/02/12/5510330/expedia-buying-orbitz-for-about.html
165,336575653,20150212,USA,NEW YORK,USA,,MNC,ORBITZ WORLDWIDE,,MNC,30,1.06382978723404,,,,,http://www.marketwatch.com/story/expedia-to-buy-orbitz-worldwide-in-16-billion-deal-2015-02-12
171,336588191,20150212,USAMED,REUTERS,USA,MED,MNC,ORBITZ WORLDWIDE,,MNC,36,2.25543687082148,United States,US,United States,US,http://finance.yahoo.com/news/online-travel-agency-expedia-buy-133353265.html
172,336588380,20150212,USAMED,REUTERS,USA,MED,USA,UNITED STATES,USA,,36,2.1978021978022,United States,US,United States,US,http://newsdaily.com/2015/02/online-travel-agency-expedia-to-buy-rival-orbitz-for-1-33-billion/
173,336624142,20150213,BUS,COMPANY,,BUS,,,,,33,2.87081339712919,Canada,CA,,,http://www.ktvz.com/news/money/expedia-to-buy-orbitz-in-16-billion-deal/31231478
175,336625012,20150213,BUS,COMPANIES,,BUS,,,,,110,2.95616717635066,"Chicago, Illinois, United States",US,,,http://triblive.com/business/headlines/7766089-74/expedia-orbitz-deal
178,336627902,20150213,BUSBUS,INDUSTRY,,BUS,MNC,ORBITZ WORLDWIDE,,MNC,12,1.61662817551963,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,https://au.news.yahoo.com/thewest/business/technology/a/26292977/u-s-airlines-hotel-industry-wary-of-expedia-orbitz-merger/
179,336627903,20150213,BUSBUS,INDUSTRY,,BUS,MNC,ORBITZ WORLDWIDE,,MNC,12,1.63385805187974,"New York, United States",US,"New York, United States",US,http://in.reuters.com/article/2015/02/14/airlines-expedia-ma-idINL1N0VN29420150214
184,336661196,20150213,GOV,REGULATOR,,GOV,,,,,13,2.01863354037267,"Bentong, Pahang, Malaysia",MY,,,http://www.therakyatpost.com/business/2015/02/13/expedia-buys-orbitz/
185,336661210,20150213,GOV,REGULATOR,,GOV,,,,,13,1.79462417511669,"Dallas, Texas, United States",US,,,http://www.smdailyjournal.com/articles/business/2015-02-13/expedia-to-buy-orbitz-further-shift-in-online-travel-space/1776425138308.html
186,336661216,20150213,GOV,REGULATOR,,GOV,,,,,13,1.91070277405863,"Washington, District of Columbia, United States",US,,,http://www.trivalleycentral.com/casa_grande_dispatch/business_news/expedia-buying-orbitz-shifts-online-travel-space/article_903970ae-b391-11e4-b434-5fa43372602e.html
187,336668026,20150213,GOV,KING,,GOV,MED,WEBSITE,,MED,111,1.31357600041783,"Chicago, Illinois, United States",US,"Chicago, Illinois, United States",US,http://www.centralmaine.com/2015/02/12/expedia-announces-deal-%E2%80%A8to-buy-orbitz-for-1-3-billion/
188,336702077,20150213,MNC,ORBITZ WORLDWIDE,,MNC,USA,NEW YORK,USA,,43,1.33333333333333,"New York, United States",US,"New York, United States",US,http://gulfnews.com/business/tourism/expedia-buys-rival-travel-operator-orbitz-for-1-6b-1.1456386
189,336702117,20150213,MNCBUS,ORBITZ WORLDWIDE,,MNC,,,,,111,2.99003322259136,"Michigan, United States",US,,,http://uncovermichigan.com/content/23092-expedia-buy-orbitz-16-billion
190,336703132,20150213,MNCUSAMED,GOOGLE,USA,MNC,,,,,11,1.90930787589499,United States,US,,,http://www.computerworld.com/article/2883920/google-fear-a-factor-behind-orbitz-expedia-deal.html
193,336730711,20150213,USA,SEATTLE,USA,,,,,,36,0.313479623824451,Australia,AS,,,http://www.bizjournals.com/albuquerque/blog/morning-edition/2015/02/expedia-bumps-priceline-to-no-2-spot-after-1-6.html
196,336771498,20150214,,,,,LAB,WORKER,,LAB,40,4.51127819548872,,,Greece,GR,http://www.slate.com/articles/podcasts/slate_money/2015/02/slate_money_on_greece_expedia_and_fifty_shades_of_grey.html
197,336782762,20150214,BUS,INDUSTRY,,BUS,USA,UNITED STATES,USA,,13,1.57303370786517,United States,US,United States,US,http://finance.yahoo.com/news/expedia-buys-orbitz-creating-online-054031321.html
199,336783129,20150214,BUSBUS,INDUSTRY,,BUS,MNC,ORBITZ WORLDWIDE,,MNC,12,2.21774193548387,"Las Vegas, Nevada, United States",US,"Las Vegas, Nevada, United States",US,http://www.reviewjournal.com/travel/news/us-airlines-warn-expedia-orbitz-merger-could-hurt-travel-business
200,336783130,20150214,BUSBUS,INDUSTRY,,BUS,MNC,ORBITZ WORLDWIDE,,MNC,12,1.7156862745098,United States,US,United States,US,http://www.newsmax.com/Finance/Airlines-Hotel-Industry-Expedia-Orbitz/2015/02/14/id/624834/
209,336860471,20150214,USABUS,THE US,USA,BUS,BUSBUS,INDUSTRY,,BUS,12,1.85289671842239,United States,US,United States,US,http://www.businesstimes.com.sg/consumer/us-airlines-hotel-industry-wary-of-expedia-orbitz-merger
210,336863738,20150214,USAMED,REUTERS,USA,MED,BUSBUS,INDUSTRY,,BUS,12,1.80256901568377,"New York, United States",US,"New York, United States",US,http://www.businessinsider.com.au/r-us-airlines-hotel-industry-wary-of-expedia-orbitz-merger-2015-2
211,336909905,20150215,GOV,REGULATOR,,GOV,,,,,013,1.88679245283019,"Washington, District of Columbia, United States",US,,,http://rapidcityjournal.com/business/expedia-to-buy-orbitz-for-billion/article_bba65f4c-53c7-5427-84b5-4c5bfe0b77a9.html
212,336936873,20150215,MNC,ORBITZ WORLDWIDE,,MNC,,,,,013,3.0,United States,US,,,http://www.streetinsider.com/Credit+Ratings/Orbitz+Worldwide+(OWW)+Placed+on+CreditWatch+Positive+by+S&P+Amid+Expedia+(EXPE)+Deal/10269724.html
213,336936884,20150215,MNC,ORBITZ WORLDWIDE,,MNC,OMN,OMAN,OMN,,043,0.826446280991736,Oman,MU,Oman,MU,http://www.menafn.com/1094105326/US-Expedia-to-acquire-Orbitz-Worldwide-for-USD16b
216,337150037,20150217,,,,,MNCUSA,EXPEDIA INC,USA,MNC,51,3.05810397553517,,,"Alaska, United States",US,http://www.wallstreetscope.com/morning-eye-catchers-platform-specialty-products-corporation-pah-alaska-air-group-inc-alk-support-com-inc-sprt-expedia-inc-expe-palo-alto-networks-inc-panw/25168897/
217,337168243,20150217,BUS,BUSINESS,,BUS,SGP,SINGAPORE,SGP,,36,3.91459074733096,"Surabaya, Jawa Timur, Indonesia",ID,"Surabaya, Jawa Timur, Indonesia",ID,http://www.travolution.co.uk/articles/2015/02/17/11710/expedia-to-buy-quarter-share-in-airasia-joint-venture.html
221,337250277,20150217,MNCSEA,AIRASIA,SEA,MNC,,,,,20,2.25806451612903,,,,,http://finance.yahoo.com/news/expedia-increases-ownership-airasia-expedia-053900620.html
222,337250278,20150217,MNCSEA,AIRASIA,SEA,MNC,,,,,30,2.98591580473605,,,,,http://www.eturbonews.com/55664/expedia-increases-ownership-airasia-expedia-joint-venture
223,337250279,20150217,MNCSEA,AIRASIA,SEA,MNC,,,,,30,2.84090909090909,Malaysia,MY,,,http://www.themalaysianinsider.com/business/article/airasia-announces-share-purchase-agreement-with-expedia
225,337250284,20150217,MNCSEA,AIRASIA,SEA,MNC,,,,,120,3.56294536817102,"Essex, Essex, United Kingdom",UK,,,http://www.tnooz.com/article/expedia-airasia-increase-stake-75-percent/
229,337253352,20150217,MYS,MALAYSIA,MYS,,SEA,SOUTHEAST ASIA,SEA,,30,2.39043824701195,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,http://www.therakyatpost.com/business/2015/02/17/airasia-reduces-stake-expedia-venture/
232,410115994,20150211,BUS,COMPANY,,BUS,MNCBUS,ORBITZ WORLDWIDE,,MNC,30,0.72358900144718,,,,,http://www.nasdaq.com/article/expedias-16-billion-bid-to-rule-the-online-travel-market-cm445452
238,410448994,20150219,MNCSEA,AIRASIA,SEA,MNC,,,,,80,2.35849056603774,"Vietnam, Republic Of",VM,,,http://www.ch-aviation.com/portal/news/35285-airasia-bhd-to-sell-25-stake-in-aae-travel-to-expedia
240,410717396,20150219,MNCSEA,AIRASIA,SEA,MNC,,,,,80,4.8951048951049,"Manila, Manila, Philippines",RP,,,http://www.philstar.com/business/2015/02/20/1425549/airasia-forges-share-purchase-agreement-expedia
241,411014897,20150220,MED,PUBLICATION,,MED,,,,,192,1.35135135135135,"Washington, District of Columbia, United States",US,,,http://www.geekwire.com/2015/new-york-times-turns-to-leaders-from-facebook-and-expedia-to-fill-board-seats/
243,411764821,20150224,BUS,COMPANIES,,BUS,USA,THE US,USA,,36,-1.07962213225371,Australia,AS,Australia,AS,http://www.brisbanetimes.com.au/business/wotif-raises-commission-rates-in-wake-of-expedia-takeover-20150224-13mg4g.html
245,411907494,20150224,GBR,LONDON,GBR,,EUR,EUROPE,EUR,,36,2.37154150197629,"London, London, City of, United Kingdom",UK,United States,US,http://finance.yahoo.com/news/expedia-com-reports-flight-prices-130300521.html
248,411999144,20150224,ESP,SPAIN,ESP,,KHM,CAMBODIA,KHM,,43,3.7037037037037,"Cadaques, Comunidad Autonoma de Cataluna, Spain",SP,Cambodia,CB,http://adland.tv/commercials/expedia-au-somewhere-over-rainbow-2015-60-australia
256,412117673,20150225,BUS,COMPANIES,,BUS,USA,THE US,USA,,36,-1.16129032258065,Australia,AS,Australia,AS,http://www.brw.com.au/p/entrepreneurs/hotels_forced_expedia_pay_higher_CSzeZJy4yUMZVAYtNtZvAM
258,412267871,20150225,BUS,INDUSTRY,,BUS,,,,,36,1.83823529411765,Philippines,RP,,,http://www.gurufocus.com/news/318509/airasia-divests-25-stake-in-aae-travel-to-expedia
259,412482112,20150226,MNCUSABUS,EXPEDIA INC,USA,MNC,MNCUSAMED,GOOGLE,USA,MNC,12,-0.42194092827004,,,,,http://www.ibtimes.com/google-inc-announces-phase-one-its-plan-kill-travel-sites-expedia-inc-1828876
260,412808277,20150227,,,,,EUR,EUROPEAN,EUR,,40,2.2228365723966,,,"Berlin, Berlin, Germany",GM,http://www.finanznachrichten.de/nachrichten-2015-02/32949012-expedia-affiliate-network-identifies-itb-berlin-as-a-key-show-to-new-growth-and-strengthened-relationships-with-partners-008.htm
266,413931308,20150303,BUS,COMPANIES,,BUS,,,,,20,-0.90909090909091,"Washington, District of Columbia, United States",US,,,http://www.cp24.com/lifestyle/travel/expedia-buying-travel-website-rival-orbitz-for-about-1-33-billion-1.2232707
267,414207428,20150304,BUS,CORPORATION,,BUS,MNCUSA,CARNIVAL CORPORATION,USA,MNC,111,-0.22042615723732,Norway,NO,Norway,NO,http://www.usatoday.com/story/travel/columnist/mcgee/2015/03/04/airline-mergers-expedia-orbitz/24319965/
271,414311235,20150304,GOV,AUTHORITIES,,GOV,,,,,12,-0.73349633251833,"Chicago, Illinois, United States",US,,,http://www.forbes.com/sites/greatspeculations/2015/03/04/expedia-plans-to-acquire-orbitz-how-will-the-various-stakeholders-be-impacted/
273,414651967,20140305,JPN,JAPAN,JPN,,,,,,111,2.6026026026026,"Amsterdam, Noord-Holland, Netherlands",NL,,,http://www.travelpulse.com/news/travel-technology/expedia-celebrates-van-gogh-holland-with-innovative-twitter-campaign.html
285,415135378,20150228,USA,PORTLAND,USA,,,,,,10,-1.02432778489116,"Sydney, New South Wales, Australia",AS,,,http://www.latrobevalleyexpress.com.au/story/2903733/wotif-raises-commission-rates-in-wake-of-expedia-takeover/?cs=4117
288,415154379,20150301,USA,PORTLAND,USA,,,,,,10,-1.02432778489116,"Sydney, New South Wales, Australia",AS,,,http://www.newcastlestar.com.au/story/2903733/wotif-raises-commission-rates-in-wake-of-expedia-takeover/?cs=4139
291,415196553,20150308,BUS,BUSINESS,,BUS,GOV,PRESIDENT,,GOV,111,1.50753768844221,United States,US,United States,US,http://www.post-gazette.com/life/travel/2015/03/08/Booking-Travel-Online-vs-booking-Direct-Expedia-Priceline/stories/201503080015
292,415334123,20150308,USA,CHICAGO,USA,,BUS,INDUSTRY,,BUS,60,1.45772594752186,"Chicago, Illinois, United States",US,"Chicago, Illinois, United States",US,"http://www.ctnow.com/news/nationworld/ct-orbitz-expedia-0213-biz-20150212,0,5256623.story"
293,415889769,20150310,BUS,COMPANY,,BUS,MNCUSA,EXPEDIA INC,USA,MNC,111,1.32890365448504,Australia,AS,Australia,AS,http://www.bizjournals.com/seattle/blog/techflash/2015/03/2-5-billion-and-counting-expedia-continues-to.html
294,415922564,20150310,CHN,CHINESE,CHN,,USA,UNITED STATES,USA,,110,0.853135601483315,"New York, United States",US,"New York, United States",US,http://finance.yahoo.com/news/expedia-takes-decolar-com-stake-200735820.html
297,415940507,20150310,CHN,CHINA,CHN,,USA,UNITED STATES,USA,,110,0.53475935828877,China,CH,"New York, United States",US,http://newsdaily.com/2015/03/expedia-takes-decolar-com-stake-as-it-deepens-latin-america-ties/
300,416062915,20150311,CHN,CHINESE,CHN,,USA,UNITED STATES,USA,,110,0.28735632183908,United States,US,United States,US,http://gadgets.ndtv.com/internet/news/expedia-takes-decolarcom-stake-as-it-deepens-latin-america-ties-669281
303,416218473,20150311,GOV,AUTHORITIES,,GOV,,,,,12,-0.45871559633027,"Chicago, Illinois, United States",US,,,http://www.nasdaq.com/article/expedia-plans-to-acquire-orbitz-how-will-the-various-stakeholders-be-impacted-cm453735
