SOURCEURL,Date,Label,N_label,AvgTone
http://nypost.com/2015/01/04/city-is-waging-a-war-against-airbnb-renters-property-owners/,2015-01-04,Business_Ethics,0.0,0.44543429844098
http://www.sfgate.com/bayarea/article/Airbnb-for-bikes-wants-cyclists-to-rent-out-5993576.php,2015-01-04,Product_Design_And_Lifecycle_Management,15.0,2.49554412642572
http://www.4029tv.com/money/travel/yearbnb-traveler-man-who-lives-in-airbnbs/30526164,2015-01-05,Customer_Privacy,22.0,2.8181085100434
http://abc11.com/technology/airbnb-town-hall-meeting-held-in-raleigh/462590/,2015-01-05,Air_Quality,21.0,1.25317034483023
http://betabeat.com/2015/01/airbnb-opens-investigation-into-host-who-secretly-spied-on-guests-with-hidden-cameras/,2015-01-05,Competitive_Behavior,4.0,1.70731707317073
http://charlotte.twcnews.com/content/news/triangle/715524/town-hall-meeting-focuses-on-legality-of-airbnb-in-raleigh/,2015-01-05,Business_Model_Resilience,3.0,2.91777188328912
http://www.tnooz.com/article/airbnb-amsterdam-tax-collection/,2015-01-07,Management_Of_Legal_And_Regulatory_Framework,12.0,3.60824742268041
http://www.sfgate.com/business/article/Uber-Lyft-Airbnb-harness-users-to-lobby-6005562.php,2015-01-10,Management_Of_Legal_And_Regulatory_Framework,12.0,4.58074534161491
http://www.bostonherald.com/business/business_markets/2015/01/city_eyes_rules_for_airbnb,2015-01-11,Management_Of_Legal_And_Regulatory_Framework,12.0,2.06766917293233
http://www.news.com.au/finance/real-estate/you-can-even-rent-an-igloo-or-a-lighthouse-and-choose-from-many-boathouses-on-airbnb-and-queenslanders-are-embracing-it-in-their-droves/story-fndbalka-1227178518037,2015-01-12,Access_And_Affordability,2.0,5.01618122977346
http://techcrunch.com/2015/01/16/airbnb-65-million-in-ny/,2015-01-16,Management_Of_Legal_And_Regulatory_Framework,12.0,3.46467391304348
http://www.nydailynews.com/blogs/dailypolitics/controller-scott-stringer-voices-concerns-airbnb-blog-entry-1.2084026,2015-01-19,Waste_And_Hazardous_Materials_Management,19.0,2.75862068965517
http://www.sfgate.com/business/article/Airbnb-hosts-must-appear-in-person-to-comply-with-6025767.php,2015-01-19,Labor_Practices,11.0,1.25
http://www.sacurrent.com/sanantonio/no-rules-will-san-antonio-regulate-airbnb-and-homeaway/Content?oid=2397765,2015-01-19,Management_Of_Legal_And_Regulatory_Framework,12.0,0.63559322033898
http://www.usatoday.com/story/tech/2015/01/19/airbnb-illegalhotels-nyc-renters/21999177/,2015-01-19,Labor_Practices,11.0,1.47058823529412
http://www.buzzfeed.com/johanabhuiyan/nyc-council-members-take-airbnb-to-task-at-oversight-hearing,2015-01-20,Systemic_Risk_Management,18.0,2.11459754433834
http://qz.com/329735/airbnb-will-soon-be-booking-more-rooms-than-the-worlds-largest-hotel-chains/,2015-01-20,Systemic_Risk_Management,18.0,0.539083557951483
http://www.dailymail.co.uk/travel/travel_news/article-2918054/New-Airbnb-inspired-app-called-Airpnp-shows-closest-toilet-available-price-use-it.html,2015-01-20,Employee_Health_And_Safety,9.0,2.60115606936416
http://www.nydailynews.com/news/national/city-controller-airbnb-poses-concerns-city-article-1.2084690,2015-01-20,Waste_And_Hazardous_Materials_Management,19.0,2.57443205869903
http://nypost.com/2015/01/20/despite-a-purge-illegal-airbnb-rentals-are-on-the-rise/,2015-01-20,Management_Of_Legal_And_Regulatory_Framework,12.0,1.06016342265876
http://www.csmonitor.com/USA/Politics/2015/0120/Airbnb-could-pose-threat-to-New-York-City-s-affordable-housing-video,2015-01-20,Management_Of_Legal_And_Regulatory_Framework,12.0,1.78919551351949
